Date,Open,High,Low,Close
"Jun 10, 2016",575.84,579.13,573.33,577.47
"Jun 9, 2016",582.20,582.20,570.95,574.63
"Jun 8, 2016",577.17,582.84,573.13,581.65
"Jun 7, 2016",585.45,590.26,567.51,576.60
"Jun 6, 2016",574.60,586.47,574.60,585.54
"Jun 5, 2016",573.31,582.81,569.18,574.98
"Jun 4, 2016",569.71,590.13,564.24,572.73
"Jun 3, 2016",537.68,574.64,536.92,569.19
"Jun 2, 2016",536.52,540.35,533.08,537.97
"Jun 1, 2016",531.11,543.08,525.64,536.92
"May 31, 2016",534.19,546.62,520.66,531.39
"May 30, 2016",528.47,544.35,522.96,533.86
"May 29, 2016",527.48,553.96,512.18,526.23
"May 28, 2016",473.03,533.47,472.70,530.04
"May 27, 2016",453.52,478.15,453.52,473.46
"May 26, 2016",449.67,453.64,447.90,453.38
"May 25, 2016",446.06,450.30,446.06,449.60
"May 24, 2016",444.29,447.10,443.93,445.98
"May 23, 2016",439.35,444.35,438.82,444.15
"May 22, 2016",443.22,443.43,439.04,439.32
"May 21, 2016",442.97,443.78,441.71,443.19
"May 20, 2016",437.79,444.05,437.39,442.68
"May 19, 2016",454.52,454.63,438.71,438.71
"May 18, 2016",453.69,456.00,453.30,454.62
"May 17, 2016",454.01,455.07,453.61,453.78
"May 16, 2016",457.59,458.20,452.95,454.16
"May 15, 2016",455.76,458.69,455.46,457.57
"May 14, 2016",455.82,456.84,454.79,455.67
"May 13, 2016",454.85,457.05,453.45,455.67
"May 12, 2016",452.45,454.95,449.25,454.77
"May 11, 2016",450.86,454.58,450.86,452.73
"May 10, 2016",460.52,461.93,448.95,450.89
"May 9, 2016",458.21,462.48,456.53,460.48
"May 8, 2016",458.43,459.42,455.98,458.55
"May 7, 2016",459.64,460.67,457.32,458.54
"May 6, 2016",447.94,461.38,447.07,459.60
"May 5, 2016",446.71,448.51,445.88,447.98
"May 4, 2016",450.18,450.38,445.63,446.72
"May 3, 2016",444.73,451.10,442.62,450.30
"May 2, 2016",451.93,452.45,441.78,444.67
"May 1, 2016",448.48,452.48,447.93,451.88
"Apr 30, 2016",455.18,455.59,447.70,448.32
"Apr 29, 2016",449.41,455.38,446.02,455.10
"Apr 28, 2016",445.04,449.55,436.65,449.01
"Apr 27, 2016",466.26,467.08,444.13,444.69
"Apr 26, 2016",461.65,467.96,461.62,466.09
"Apr 25, 2016",459.12,466.62,453.59,461.43
"Apr 24, 2016",450.56,460.15,448.93,458.55
"Apr 23, 2016",445.86,450.28,444.33,450.28
"Apr 22, 2016",449.69,449.81,444.15,445.74
"Apr 21, 2016",441.42,450.55,440.95,449.42
"Apr 20, 2016",435.32,443.05,434.41,441.39
"Apr 19, 2016",428.70,436.02,428.10,435.51
"Apr 18, 2016",427.61,429.27,427.09,428.59
"Apr 17, 2016",430.64,431.37,426.08,427.40
"Apr 16, 2016",429.58,432.63,428.98,430.57
"Apr 15, 2016",424.43,429.93,424.43,429.71
"Apr 14, 2016",423.93,425.37,423.01,424.28
"Apr 13, 2016",425.63,426.66,422.92,423.73
"Apr 12, 2016",422.84,427.28,422.84,425.19
"Apr 11, 2016",421.87,422.74,420.53,422.48
"Apr 10, 2016",419.59,422.43,419.26,421.56
"Apr 9, 2016",420.81,420.89,416.52,419.41
"Apr 8, 2016",422.91,425.36,419.64,420.35
"Apr 7, 2016",423.62,423.66,420.52,422.74
"Apr 6, 2016",424.28,424.53,422.73,423.41
"Apr 5, 2016",421.02,424.26,420.61,424.03
"Apr 4, 2016",421.30,422.34,419.60,421.44
"Apr 3, 2016",421.17,421.58,419.70,420.90
"Apr 2, 2016",418.42,422.08,418.42,420.87
"Apr 1, 2016",416.76,418.17,415.83,417.96
"Mar 31, 2016",415.26,418.37,415.26,416.73
"Mar 30, 2016",416.83,416.83,412.50,414.82
"Mar 29, 2016",424.30,426.20,412.68,416.52
"Mar 28, 2016",426.55,426.86,423.29,424.23
"Mar 27, 2016",418.14,428.80,417.71,426.77
"Mar 26, 2016",417.36,418.99,416.26,417.95
"Mar 25, 2016",416.51,418.08,415.56,417.18
"Mar 24, 2016",418.42,418.68,415.49,416.39
"Mar 23, 2016",418.16,419.27,417.36,418.04
"Mar 22, 2016",413.13,418.38,412.53,418.09
"Mar 21, 2016",413.42,413.42,410.38,413.31
"Mar 20, 2016",410.40,414.63,410.40,413.76
"Mar 19, 2016",409.27,410.98,407.23,410.44
"Mar 18, 2016",420.55,420.55,406.14,409.55
"Mar 17, 2016",417.89,421.00,417.89,420.62
"Mar 16, 2016",416.89,417.69,415.91,417.01
"Mar 15, 2016",416.39,418.13,414.98,416.83
"Mar 14, 2016",414.20,416.68,414.20,416.44
"Mar 13, 2016",411.65,416.60,411.64,414.07
"Mar 12, 2016",421.61,421.80,410.09,411.62
"Mar 11, 2016",417.24,423.93,417.01,421.69
"Mar 10, 2016",414.74,417.51,413.25,417.13
"Mar 9, 2016",413.89,416.03,411.61,414.86
"Mar 8, 2016",414.46,416.24,411.09,413.97
"Mar 7, 2016",407.76,415.92,406.31,414.32
"Mar 6, 2016",400.52,411.91,395.78,407.71
"Mar 5, 2016",410.78,411.26,394.04,400.57
"Mar 4, 2016",421.84,425.18,410.94,410.94
"Mar 3, 2016",423.91,425.37,419.41,421.65
"Mar 2, 2016",435.13,435.92,423.99,423.99
"Mar 1, 2016",437.92,439.65,432.32,435.12
"Feb 29, 2016",433.44,441.51,431.69,437.70
"Feb 28, 2016",432.57,435.68,423.82,433.50
"Feb 27, 2016",432.84,434.23,428.10,432.52
"Feb 26, 2016",424.63,432.15,421.62,432.15
"Feb 25, 2016",425.04,427.72,420.42,424.54
"Feb 24, 2016",420.96,425.55,413.91,424.95
"Feb 23, 2016",438.26,439.86,417.82,420.74
"Feb 22, 2016",438.99,439.05,432.92,437.75
"Feb 21, 2016",437.77,448.05,429.08,438.80
"Feb 20, 2016",421.60,441.98,421.60,437.16
"Feb 19, 2016",422.73,423.10,417.60,420.79
"Feb 18, 2016",416.57,426.00,415.64,422.37
"Feb 17, 2016",407.66,421.17,406.78,416.32
"Feb 16, 2016",401.43,408.95,401.43,407.49
"Feb 15, 2016",407.57,410.38,397.75,400.18
"Feb 14, 2016",392.93,407.23,392.93,407.23
"Feb 13, 2016",384.64,391.86,384.64,391.86
"Feb 12, 2016",379.69,384.95,379.60,384.26
"Feb 11, 2016",382.11,383.13,376.40,379.65
"Feb 10, 2016",376.15,385.48,375.78,381.65
"Feb 9, 2016",373.42,377.25,372.90,376.03
"Feb 8, 2016",376.76,379.88,373.33,373.45
"Feb 7, 2016",376.51,380.87,374.90,376.62
"Feb 6, 2016",386.59,386.63,372.39,376.52
"Feb 5, 2016",388.90,391.09,385.57,386.55
"Feb 4, 2016",370.17,391.61,369.99,389.59
"Feb 3, 2016",374.65,374.95,368.05,369.95
"Feb 2, 2016",372.92,375.88,372.92,374.45
"Feb 1, 2016",369.35,378.07,367.96,373.06
"Jan 31, 2016",378.29,380.35,367.83,368.77
"Jan 30, 2016",378.86,380.92,376.49,378.26
"Jan 29, 2016",380.11,384.38,365.45,379.47
"Jan 28, 2016",395.15,395.50,379.73,380.29
"Jan 27, 2016",392.44,396.84,391.78,394.97
"Jan 26, 2016",392.00,397.77,390.58,392.15
"Jan 25, 2016",402.32,402.32,388.55,391.73
"Jan 24, 2016",388.10,405.48,387.51,402.97
"Jan 23, 2016",382.43,394.54,381.98,387.49
"Jan 22, 2016",409.75,410.41,375.28,382.49
"Jan 21, 2016",419.63,422.88,406.30,410.26
"Jan 20, 2016",379.74,425.27,376.60,420.23
"Jan 19, 2016",387.03,387.73,378.97,380.15
"Jan 18, 2016",381.73,388.10,376.67,387.17
"Jan 17, 2016",387.15,390.96,380.09,382.30
"Jan 16, 2016",365.07,390.56,354.91,387.54
"Jan 15, 2016",430.26,430.26,364.33,364.33
"Jan 14, 2016",432.29,433.32,427.85,430.31
"Jan 13, 2016",434.67,435.19,424.44,432.37
"Jan 12, 2016",448.18,448.18,435.69,435.69
"Jan 11, 2016",448.70,450.66,443.86,448.43
"Jan 10, 2016",448.24,448.31,440.35,447.99
"Jan 9, 2016",453.38,454.64,446.89,447.61
"Jan 8, 2016",457.54,462.93,447.94,453.23
"Jan 7, 2016",430.01,458.77,429.08,458.05
"Jan 6, 2016",431.86,431.86,426.34,429.11
"Jan 5, 2016",433.07,434.18,429.68,431.96
"Jan 4, 2016",430.06,434.52,429.08,433.09
"Jan 3, 2016",433.58,433.74,424.71,430.01
"Jan 2, 2016",434.62,436.06,431.87,433.44
"Jan 1, 2016",430.72,436.25,427.52,434.33
"Dec 31, 2015",425.88,432.92,418.73,430.57
"Dec 30, 2015",433.30,434.39,422.08,426.62
"Dec 29, 2015",422.10,432.98,420.63,432.98
"Dec 28, 2015",423.34,429.77,418.48,422.28
"Dec 27, 2015",416.51,424.01,408.88,422.82
"Dec 26, 2015",455.76,457.49,405.76,417.27
"Dec 25, 2015",454.86,458.30,452.08,455.65
"Dec 24, 2015",443.09,458.46,443.08,454.98
"Dec 23, 2015",436.72,444.53,436.62,442.40
"Dec 22, 2015",437.44,443.69,435.52,436.57
"Dec 21, 2015",442.84,444.73,427.31,438.64
"Dec 20, 2015",462.23,462.64,434.34,442.68
"Dec 19, 2015",463.55,465.58,456.77,462.32
"Dec 18, 2015",455.85,465.18,454.94,463.62
"Dec 17, 2015",454.78,457.86,448.86,456.08
"Dec 16, 2015",465.21,465.21,443.85,454.93
"Dec 15, 2015",443.88,465.32,443.88,465.32
"Dec 14, 2015",433.27,447.14,430.46,444.18
"Dec 13, 2015",431.66,441.68,426.27,433.76
"Dec 12, 2015",452.33,469.10,410.74,435.00
"Dec 11, 2015",415.28,451.94,415.28,451.94
"Dec 10, 2015",417.99,419.51,411.55,415.48
"Dec 9, 2015",414.44,423.12,406.29,417.56
"Dec 8, 2015",395.75,415.56,389.95,415.56
"Dec 7, 2015",389.98,399.97,385.41,395.54
"Dec 6, 2015",389.55,402.81,387.09,388.78
"Dec 5, 2015",363.72,389.79,363.23,388.95
"Dec 4, 2015",361.26,363.52,355.76,363.18
"Dec 3, 2015",359.33,370.27,357.41,361.05
"Dec 2, 2015",361.85,362.23,349.46,359.19
"Dec 1, 2015",377.41,378.93,356.56,362.49
"Nov 30, 2015",371.44,382.36,370.38,377.32
"Nov 29, 2015",357.47,371.94,355.67,371.29
"Nov 28, 2015",357.14,359.54,352.17,357.38
